"Year","Country","New_cases","New_deaths","Cumulative_cases","Cumulative_deaths","Cases_100k","Deaths_100k"
2020,"Afghanistan",52330,2189,52330,2189,134.426483779517,5.62315255099106
2020,"Albania",57727,1174,57727,1174,2034.18152269553,41.3693610900369
2020,"Algeria",99311,2751,99311,2751,226.473518543219,6.27351098581623
2020,"American Samoa",0,0,0,0,0,0
2020,"Andorra",7983,84,7983,84,10331.974373908,108.716754028344
2020,"Angola",17433,405,17433,405,53.0422255426141,1.23226646846548
2020,"Anguilla",13,0,13,0,2109.83544050468,16.7311242296949
2020,"Antigua and Barbuda",158,5,158,5,161.343027530431,5.10579201045666
2020,"Argentina",1674319,48271,1674319,48271,3689.81586456487,106.378235926613
2020,"Armenia",159409,2823,159409,2823,5379.56165459765,95.2675354021991
2020,"Aruba",5373,49,5373,49,5032.50098345915,45.8947605042804
2020,"Australia",28381,909,28381,909,110.460845637108,3.53789185314581
2020,"Austria",356073,7482,356073,7482,3993.25368201197,83.9084234098445
2020,"Azerbaijan",216584,2575,216584,2575,2145.85755981723,25.5124257402641
2020,"Bahamas",7857,170,7857,170,2109.83544050468,16.7311242296949
2020,"Bahrain",92425,352,92425,352,5431.70682828872,20.6866194596443
2020,"Bangladesh",513510,7559,513510,7559,311.805163542327,4.58985264399224
2020,"Barbados",372,7,372,7,129.449387725275,2.4358755754756
2020,"Belarus",192361,1414,192361,1414,2050.76742396976,15.0747040070141
2020,"Belgium",648414,19749,648414,19749,5616.77463247692,171.072312159803
2020,"Belize",10668,241,10668,241,2682.95688607996,60.6104808347648
2020,"Benin",3251,44,3251,44,26.8163565422259,0.362940537637016
2020,"Bermuda",595,10,595,10,931.244424271829,15.6511667944845
2020,"Bhutan",670,0,670,0,86.8312053208089,0
2020,"Bolivia (Plurinational State of)",156887,9135,156887,9135,2109.83544050468,16.7311242296949
2020,"Bonaire",162,3,162,3,2109.83544050468,16.7311242296949
2020,"Bosnia and Herzegovina",110985,4050,110985,4050,3382.84846905418,123.44493670018
2020,"Botswana",14637,43,14637,43,622.420666560357,1.82852282995801
2020,"Brazil",7563551,192681,7563551,192681,3558.32331091963,90.6480691240537
2020,"British Virgin Islands",93,1,93,1,307.570195455898,3.3072064027516
2020,"Brunei Darussalam",157,3,157,3,35.887108756226,0.68574093164763
2020,"Bulgaria",201220,7515,201220,7515,2901.92622888759,108.378767568285
2020,"Burkina Faso",6707,85,6707,85,32.0858766744623,0.406634787137214
2020,"Burundi",818,2,818,2,6.87927899773783,0.0168197530507037
2020,"Côte d’Ivoire",22250,138,22250,138,2109.83544050468,16.7311242296949
2020,"Cabo Verde",11793,112,11793,112,2121.08894436571,20.1443196615754
2020,"Cambodia",366,0,366,0,2.18912994107113,0
2020,"Cameroon",26848,448,26848,448,101.138166005823,1.68764520152744
2020,"Canada",565504,15274,565504,15274,1486.71285092353,40.155422569966
2020,"Cayman Islands",326,2,326,2,496.043822276324,3.04321363359708
2020,"Central African Republic",5818,63,5818,63,120.46137243973,1.30441156131024
2020,"Chad",2077,105,2077,105,12.6446963900031,0.639235975421438
2020,"Chile",605950,16499,605950,16499,3169.82305435141,86.3089538307517
2020,"China",96673,4788,96673,4788,6.85089646375168,0.339309758344554
2020,"Colombia",1614822,42620,1614822,42620,3173.60548981461,83.7609754981655
2020,"Comoros",695,9,695,9,79.9222626625038,1.03496455246408
2020,"Congo",6431,100,6431,100,2109.83544050468,16.7311242296949
2020,"Cook Islands",0,0,0,0,2109.83544050468,16.7311242296949
2020,"Costa Rica",166799,2156,166799,2156,3274.34760981007,42.3233559358899
2020,"Croatia",208446,3860,208446,3860,5149.76480354178,95.3632698237015
2020,"Cuba",11687,145,11687,145,103.181744662307,1.28017052930902
2020,"Curaçao",4179,14,4179,14,2109.83544050468,16.7311242296949
2020,"Cyprus",22347,122,22347,122,1850.89629365202,10.1046828579025
2020,"Czechia",719668,11888,719668,11888,2109.83544050468,16.7311242296949
2020,"Democratic People's Republic of Korea",0,0,0,0,2109.83544050468,16.7311242296949
2020,"Democratic Republic of the Congo",17657,591,17657,591,2109.83544050468,16.7311242296949
