"","Area","Item","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019","Y2020"
"1","Afghanistan","Cereals, Total",1940000,2108000,3737000,4381000,3560000,5425000,4638000,5786000,3950000,6514000,5957000,4681020,6379000,6520329,6748023,5808288,5532695,4894365,4134191,5583461,6025977
"2","Afghanistan","Citrus Fruit, Total",17794,17760,17721,21065,16931,15200,10284,8709,8100,6000,4000,8000,8000,9320,9930,8028,22049,20558,21811,37262,6776
"3","Afghanistan","Eggs Primary",15010,13100,16730,16371,17400,21824,14688,16858,16698,16778,16344,17210,18000,18000,18500,19833,19884,20000,19906,19930,19945
"4","Afghanistan","Fruit Primary",856631,894887,917769,969753,801156,936922,1241884,1276450,1244515,1459939,1360110,1274113,1352528,1346187,1715054,1831103,2597914,2870795,2290670,3112970,3459051
"5","Afghanistan","Meat, Total",320785,278743,304321,298619,322977,318615,272400,267240,294060,304340,328160,335664,330600,322110,311020,302780,295536,311953,312780,268273,312773
"6","Afghanistan","Milk, Total",1651327,1106152,1862800,1734386,1792274,1737674,1640689,1756000,1707200,1732000,1721000,1743000,1844700,1835200,2418764,2177252,2168253,2099287,2153910,2111786,2137132
"7","Afghanistan","Pulses, Total",47015,47329,47585,42100,42000,47642,42100,40505,51000,50000,53300,67000,69000,60000,60000,106651,81053,36304,41002,43645,43556
"8","Afghanistan","Roots and Tubers, Total",235000,235000,230000,350000,3e+05,3e+05,3e+05,300800,280000,302400,246000,205000,230000,302980,340257,327507,427917,513194,615684,921122,855395
"9","Afghanistan","Sugar Crops Primary",39000,39000,39000,61000,65000,41000,73000,86938,76276,139700,107600,107696,91564,104645,86412,50949,18946,35827,30784,45822,45324
"10","Afghanistan","Treenuts, Total",20800,23800,20574,20900,21945,23335,28350,44387,55833,56365,71463,78312,79831,57217,41885,32288,43487,38649,49461,57094,58414
"11","Afghanistan","Vegetables Primary",1108694,1093772,1083073,1065317,1070651,1243836,1037022,1040207,1009392,1022578,969763,762948,817744,790267,973722,1008465,1466532,922563,887174,1400926,1822632
"12","Albania","Cereals, Total",565800,502500,518800,488500,498800,511200,507500,493600,608500,630900,693800,701200,697400,702870,700370,695000,698430,701734,678196,666065,684023
"13","Albania","Citrus Fruit, Total",2600,2800,3400,4400,6262,6800,5600,6725,8640,10200,13505,15000,18860,19996,21357,29999,40339,41032,45500,46882,49201
"14","Albania","Eggs Primary",21490,24550,25050,27200,29500,27750,26850,27500,29970,30250,31500,31945,50759,47510,47807,52487,53150,51299,52333,54727,54444
